,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
2707,Jasper,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jasper,,Specialty,Hybrid,Mid,Normal,Indeterminate,8 ft.,0.25 oz.,Cherry,Red,Red,,Late blight resistant; All American Selection winner.,,,,,,
2708,Mighty Sweet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mighty+Sweet,,,Hybrid,Early,,Indeterminate,7 ft.,1 oz.,Grape,Red,Red,,,,,,,,
2709,Nature Bites,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nature+Bites,,Specialty,Hybrid,Late,Normal,Indeterminate,7 ft.,0.75 oz.,Cherry,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",
2710,Nectar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nectar,,,Hybrid,Mid,,Indeterminate,5 ft.,1/2 oz.,Cherry,Red,Red,Sweet,1/2 oz. form in clusters of 20.,,,,,,
2711,La Roma III,https://njaes.rutgers.edu/tomato-varieties/variety.php?La+Roma+III,,Specialty,Hybrid,Late,Normal,Determinate,3 ft.,5 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",
2712,Ranger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ranger,,,Hybrid,Late,,Determinate,4 ft.,6 oz.,Long Blocky,Red,Red,,Firm fruit.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",
2713,SuperSauce,https://njaes.rutgers.edu/tomato-varieties/variety.php?SuperSauce,,,Hybrid,Late,,Indeterminate,4 ft.,12 oz.,Plum,Red,Red,,,,,,,,
2714,KC 146,https://njaes.rutgers.edu/tomato-varieties/variety.php?KC+146,,Heirloom,Open Pollinated,Mid,Normal,Semi-Determinate,5 ft.,9 oz.,Round,Red,Red,Tomato Flavor,,USA,Developed by Campbell’s Soup Company as a processing tomato. Released in 1956 and used as a flavor standard.,,,,
2715,Mountain Glory,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Glory,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
2716,Iron Lady,https://njaes.rutgers.edu/tomato-varieties/variety.php?Iron+Lady,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,6 oz.,Round,Red,Red,,Bred for late blight and early blight resistance.,USA,From a collaboration between Cornell University and North Carolina State U.,,,,
2717,Amsterdam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amsterdam,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.75 oz.,Grape,Red,Red,,Fruit grow in clusters.,,,,,,
2718,Rutgers 39,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rutgers+39,,Heirloom,Open Pollinated,Mid,Normal,Semi-Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,Originally developed at Rutgers U. for canning industry.,,,,
2719,Baby Bottle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.25 oz.,Small Pear,Red,Red,,,,,,,,
2720,Tasty Treat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tasty+Treat,,Specialty,Hybrid,Mid,Normal,Indeterminate,7 ft.,0.35 oz.,Cherry,Red,Red,,,,,,,,
2721,Beall's Gourmet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beall's+Gourmet,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,12 oz.,Beefsteak,Red,Red,,,,,,,,
2722,El Fresco Hybrid,https://njaes.rutgers.edu/tomato-varieties/variety.php?El+Fresco+Hybrid,,Specialty,Hybrid,Late,Normal,Indeterminate,6 ft.,10 oz.,Round,Red,Red,,,,,,,,
2723,Early Treat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Early+Treat,,Garden,Hybrid,Mid,Normal,Semi-Determinate,4 ft.,3 oz.,Round,Red,Red,,,,,,,,
2724,Ball's Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ball's+Beefsteak,,Garden,Hybrid,Late,Normal,Indeterminate,5 ft.,12 oz.,Beefsteak,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",
2725,Attention,https://njaes.rutgers.edu/tomato-varieties/variety.php?Attention,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2726,Betty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Betty,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2727,Big Bunch,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Bunch,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",
2728,Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blue+Ribbon,,,Hybrid,Mid,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
2729,Burbank,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burbank,,Heirloom,Open Pollinated,Mid,Normal,Determinate,3 ft.,6 oz.,Round,Red,Red,,,,,,,,
2730,Burpee's Burger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burpee's+Burger,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2731,Burrell's Special,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burrell's+Special,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2732,Bush Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Blue+Ribbon,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
2733,Early Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Early+Blue+Ribbon,,Specialty,Hybrid,Early,Normal,Indeterminate,6 ft.,8 oz.,Round,Red,Red,,,,,,,,
2734,Fourth of July,https://njaes.rutgers.edu/tomato-varieties/variety.php?Fourth+of+July,,Garden,Hybrid,Early,Normal,Indeterminate,5 ft.,4 oz.,Round,Red,Red,,,USA,,,,,
2735,Front Runner,https://njaes.rutgers.edu/tomato-varieties/variety.php?Front+Runner,,Garden,Hybrid,Early,Normal,Determinate,3 ft.,12 oz.,Beefsteak,Red,Red,,,,,,,,
2736,Heritage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heritage,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2737,Hybrid Beef 9904,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hybrid+Beef+9904,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,9 oz.,Flattened Globe,Red,Red,,Semi-seedless.,,,,,,
2738,Illinois Beauty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Illinois+Beauty,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Round,Red,Red,,,USA,,,,,
2739,Kanner Hoell,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kanner+Hoell,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2740,Katana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Katana,,Specialty,Hybrid,Early,Normal,Semi-Determinate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2741,Marion,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marion,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Flattened Globe,Red,Red,,,,,,,,
2742,Mega Tom Giant,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mega+Tom+Giant,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2743,Moravsky Div,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moravsky+Div,,Heirloom,Open Pollinated,Mid,Potato,Indeterminate,6 ft.,4 oz.,Round,Red,Red,,,,,,,,
2744,Mountain Delight,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Delight,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
2745,Mountain Spring,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Spring,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Resisits cracking.,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
2746,New Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?New+Girl,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,8 oz.,Round,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 2",
2747,Park's Season Starter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Park's+Season+Starter,,Garden,Hybrid,Early,Normal,Determinate,3 ft.,8 oz.,Round,Red,Red,,Compact plants.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
2748,Polar Beauty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Polar+Beauty,,Specialty,Open Pollinated,Early,Normal,Indeterminate,,4 oz.,Round,Red,Red,,,,,,,,
2749,Polish Dwarf,https://njaes.rutgers.edu/tomato-varieties/variety.php?Polish+Dwarf,,,Open Pollinated,Mid,Normal,Determinate,7 ft.,4 oz.,Flattened Globe,Red,Red,,,,,,,,
2750,Quali T 23,https://njaes.rutgers.edu/tomato-varieties/variety.php?Quali+T+23,,Specialty,Hybrid,Late,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2751,Red Eclipse,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Eclipse,,Specialty,Hybrid,Early,,Indeterminate,6 ft.,6 oz.,Round,Red,Red,,Fruit form in clusters.,,,,,,
2752,Red Rave,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Rave,,Specialty,Hybrid,Mid,Normal,Indeterminate,5 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2753,Reisetomate,https://njaes.rutgers.edu/tomato-varieties/variety.php?Reisetomate,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,4 oz.,Round,Red,Red,,Looks like bunches of cherry tomatoes fused together.  Very acidic.,,,,,,
2754,Riviera,https://njaes.rutgers.edu/tomato-varieties/variety.php?Riviera,,Specialty,Hybrid,Mid,Normal,Indeterminate,5 ft.,8 oz.,Pear,Red,Red,,,,,,,,
2755,Rocket,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rocket,,Heirloom,Open Pollinated,Early,Normal,Determinate,3 ft.,4 oz.,Round,Red,Red,,Compact plant.,,,,,,
2756,Steak House,https://njaes.rutgers.edu/tomato-varieties/variety.php?Steak+House,,,Hybrid,Late,,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2757,Summer Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Girl,,Garden,Hybrid,Early,,Indeterminate,6 ft.,6 oz.,Round,Red,Red,,,,,,,,
2758,Tonopah,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tonopah,,Garden,Hybrid,Mid,Normal,Determinate,6 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2759,Valleycat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Valleycat,,Specialty,Hybrid,Mid,,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2760,Volante,https://njaes.rutgers.edu/tomato-varieties/variety.php?Volante,,Specialty,Hybrid,Mid,Normal,Determinate,3 ft.,6 oz.,Round,Red,Red,,,,,,,,
2761,Argentina Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Argentina+Cherry,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,1 oz.,Cherry,Red,Red,,,,,,,,
2762,BHN 624,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+624,,Commercial,Hybrid,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Cherry,Red,Red,,,,,,,,
2763,Early Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Early+Cherry,,Specialty,Open Pollinated,Early,Normal,Determinate,3 ft.,1 oz.,Cherry,Red,Red,,,,,,,,
2764,Fantastico,https://njaes.rutgers.edu/tomato-varieties/variety.php?Fantastico,,Garden,Hybrid,Early,Normal,Determinate,2 ft.,1 oz.,Grape,Red,Red,,2014 All-American Selection very compact container type plants.,,,,,,
2765,Jujube Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jujube+Cherry,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,2 oz.,Grape,Red,Red,,Fruits in long clusters.,,,,,,
2766,Sweet Aperitif,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Aperitif,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,1 oz.,Cherry,Red,Red,,,,,,,,
2767,Washington Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Washington+Cherry,,Specialty,Open Pollinated,Early,Normal,Determinate,3 ft.,1 oz.,Cherry,Red,Red,,Compact plants.,,,,,,
2768,Supremo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supremo,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,8 oz.,Plum,Red,Red,,,,,,,,
2769,Arbason,https://njaes.rutgers.edu/tomato-varieties/variety.php?Arbason,,,Hybrid,Late,,Indeterminate,6 ft.,10 oz.,Round,Red,Red,,,,,,,,
2770,Basrawya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basrawya,,,Open Pollinated,Late,,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2771,Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beefsteak,,,Open Pollinated,Late,,Indeterminate,4 ft.,16 oz.,Beefsteak,Red,Red,,Slightly ribbed.,,,,,,
2772,BHN 444,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+444,,,Hybrid,Mid,,Determinate,3 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
2773,BHN 602,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+602,,,Hybrid,Mid,,Determinate,3 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
2774,Buckbees New Fifty Day,https://njaes.rutgers.edu/tomato-varieties/variety.php?Buckbees+New+Fifty+Day,,,Open Pollinated,Mid,,Indeterminate,5 ft.,8 oz.,Round,Red,Red,,,,,,,,
2775,Burpee's Summer Choice,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burpee's+Summer+Choice,,,Hybrid,Mid,,Indeterminate,3 ft.,4 oz.,Round,Red,Red,,,,,,,,
2776,Bush Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Beefsteak,,,Open Pollinated,Early,,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2777,Bush Early Girl II,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Early+Girl+II,,,Hybrid,Early,,Determinate,3 ft.,10 oz.,Round,Red,Red,,,,,,,,
2778,Chancha,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chancha,,,Hybrid,Late,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2779,Caiman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Caiman,,,Hybrid,Late,,Indeterminate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2780,Bobcat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bobcat,,,Hybrid,Early,,Determinate,4 ft.,10 oz.,Round,Red,Red,,,,,,,,
2781,Costoluto Fiorentino (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Costoluto+Fiorentino+(2),,,Open Pollinated,Late,,Indeterminate,5 ft.,6 oz.,Flattened Globe,Red,Red,,Fruit is folded and pleated.,,,,,,
2782,Crimson Sprinter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Crimson+Sprinter,,,Open Pollinated,Mid,,Indeterminate,5 ft.,6 oz.,Round,Red,Red,,,,,,,,
2783,Early Choice,https://njaes.rutgers.edu/tomato-varieties/variety.php?Early+Choice,,,Open Pollinated,Mid,,Indeterminate,5 ft.,4 oz.,Round,Red,Red,,,,,,,,
2784,Genuwine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Genuwine,,,Open Pollinated,Mid,,Indeterminate,6 ft.,10 oz.,Flattened Globe,Red,Red,,Cross between Costoluto Genovese and Brandywine.,,,,,,
2785,Grandaddy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Grandaddy,,,Hybrid,Mid,,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2786,Granny Cantrell's,https://njaes.rutgers.edu/tomato-varieties/variety.php?Granny+Cantrell's,,,Open Pollinated,Late,,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Pink,,,,,,,,
2787,Jersey Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jersey+Boy,,,Hybrid,Mid,,Indeterminate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Cross between Brandywine and Rutgers tomato.,,,,,,
2788,Jung's Wayahead (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Jung's+Wayahead+(1),,,Open Pollinated,Early,,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
2789,Magnum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Magnum,,,Open Pollinated,Late,,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
2790,Moneymaker,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moneymaker,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Round,Red,Red,,,,,,,,
2791,Mountain Majesty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Majesty,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2792,Park's Beefy Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Park's+Beefy+Boy,,,Hybrid,Mid,,Indeterminate,5 ft.,16 oz.,Flattened Globe,Red,Red,,,,,,,,
2793,Querida (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Querida+(1),,,Hybrid,Mid,,Determinate,5 ft.,12 oz.,Beefsteak,Red,Red,,Red fruit with green stripes.,,,,,,
2794,Rally,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rally,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2795,Red Anjou,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Anjou,,,Hybrid,Mid,,Indeterminate,7 ft.,16 oz.,Oxheart,Red,Red,,,,,,,,
2796,Sasha's Pride,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sasha's+Pride,,,Open Pollinated,Early,,Indeterminate,4 ft.,4 oz.,Round,Red,Red,,,,,,,,
2797,Shilling Giant (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Shilling+Giant+(1),,,Open Pollinated,Late,,Indeterminate,5 ft.,12 oz.,Oxheart,Red,Red,,,,,,,,
2798,Summer Pick,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Pick,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
2799,Red Morning (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Morning+(2),,,Hybrid,Mid,,Determinate,3 ft.,12 oz.,Round,Red,Red,,,,,,,,
2800,Red Mountain,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Mountain,,,Hybrid,Mid,,Determinate,3 ft.,10 oz.,Round,Red,Red,,,,,,,,
2801,Skyway,https://njaes.rutgers.edu/tomato-varieties/variety.php?Skyway,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Round,Red,Red,,,,,,,,
2802,Top Gun,https://njaes.rutgers.edu/tomato-varieties/variety.php?Top+Gun,,,Hybrid,Mid,,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
2803,Tropic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tropic,,,Open Pollinated,Late,,Indeterminate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
2804,Baxter's Early Bush Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baxter's+Early+Bush+Cherry,,,Open Pollinated,Mid,,Determinate,4 ft.,2 oz.,Cherry,Red,Red,,Compact plant.,,,,,,
2805,Corbarino (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Corbarino+(1),,,Open Pollinated,Mid,,Indeterminate,7 ft.,1 oz.,Grape,Red,Red,,,,,,,,
2806,Placero,https://njaes.rutgers.edu/tomato-varieties/variety.php?Placero,,,Open Pollinated,Late,,Indeterminate,7 ft.,1 oz.,Cherry,Red,Red,,Said to be high in beta-carotene.,,,,,,
2807,Principe Borghese (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Principe+Borghese+(2),,,Open Pollinated,Mid,,Determinate,4 ft.,1 oz.,Grape,Red,Red,,,,,,,,
2808,Rapunzel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rapunzel,,,Hybrid,Mid,,Indeterminate,8 ft.,1 oz.,Cherry,Red,Red,,,,,,,,
2809,Sweet Aroma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Aroma,,,Hybrid,Mid,,Indeterminate,5 ft.,4 oz.,Plum,Red,Red,,,,,,,,
2810,Cloudy Day,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cloudy+Day,,,Hybrid,Mid,,Indeterminate,5 ft.,6 oz.,Round,Red,Red,,Thrives in cooler temperatures.,,,,,,
2811,Marglobe Improved,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marglobe+Improved,,,Open Pollinated,Mid,,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
2812,Big Yummy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Yummy,,,Hybrid,Mid,,Determinate,4 ft.,8 oz.,Round,Red,Red,,Nearly seedless. F1A.,,,,,,
2813,Buffalo Steak (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Buffalo+Steak+(1),,,Hybrid,Late,,Indeterminate,5 ft.,6 oz.,Beefsteak,Red,Red,,,,,,,,
2814,Dixie Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Dixie+Red,,,Hybrid,Mid,,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,Heat tolerant bred for the Southeast. VF1F2FNA.,,,,,,
2815,Illini Star,https://njaes.rutgers.edu/tomato-varieties/variety.php?Illini+Star,,,Open Pollinated,Mid,,Determinate,4 ft.,6 oz.,Flattened Globe,Red,Red,,Compact plant.,,Developed by Merlyn & Mary Ann Neidens.,,,,
2816,Madame Marmande,https://njaes.rutgers.edu/tomato-varieties/variety.php?Madame+Marmande,,,Hybrid,Mid,,Indeterminate,5 ft.,10 oz.,Beefsteak,Red,Red,,Popular variety in France.,,,,,,
2817,Oregon Spring,https://njaes.rutgers.edu/tomato-varieties/variety.php?Oregon+Spring,,,Open Pollinated,Early,,Determinate,5 ft.,6 oz.,Flattened Globe,Red,Red,,Fruit nearly seedless.,,Developed by Oregon State U. for short seasons.,,,,
2818,Polar Star,https://njaes.rutgers.edu/tomato-varieties/variety.php?Polar+Star,,,Open Pollinated,Early,,Determinate,2 ft.,4 oz.,Flattened Globe,Red,Red,,Cold weather variety originating in Alaska.,,,,,,
2819,Red Pride,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Pride,,,Hybrid,Mid,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Commercial fresh market variety.,,,,,,
2820,Subarctic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Subarctic,,,Hybrid,Early,,Determinate,3 ft.,3 oz.,Round,Red,Red,,Early fruit on compact plants.,,,,,,
2821,Tappy's Hertitage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tappy's+Hertitage,,,Open Pollinated,Late,,Indeterminate,5 ft.,6 oz.,Globe,Red,Red,,,,Developed by Merlyn and Mary Ann Neidens in Illinois.,,,,
2822,Cherry Baby,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Baby,,,Hybrid,Mid,,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,,Grow in long clusters.,,,,,,
2823,Cherry Bomb,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Bomb,,,Hybrid,Early,,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,,Late blight resistant.,,,,,,
2824,Jolly Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+Girl,,,Hybrid,Early,,Determinate,4 ft.,1 oz.,Grape,Red,Red,,Compact plants.,,,,,,
2825,Sugar Rush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Rush,,,Hybrid,Early,,Indeterminate,5 ft.,1 oz.,Grape,Red,Red,,Fruit grows on long clusters.,,,,,,
2826,Marzinera,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marzinera,,,Open Pollinated,Mid,,Indeterminate,5 ft.,3 oz.,Plum,Red,Red,,A cross betweeen 'San Marzano' and 'Cream Sauage'.,,,,,,
2827,Ten Fingers of Naples,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ten+Fingers+of+Naples,,,Open Pollinated,Mid,,Determinate,5 ft.,3 oz.,Plum,Red,Red,,Fruit produced in long trusses with a finger-like appearance.,,From Naples Italy.,,,,
2828,Sophie's Choice ,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sophie's+Choice+,,,Open Pollinated,Early,,Determinate,2 ft.,8 oz.,Globe,Red,Red,,,,,,,,
2829,Rutgers 250,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rutgers+250,,,Open Pollinated,Mid,,Semi-Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,Developed at Rutgers NJAES by redoing the cross used to create the original ‘Rutgers’ tomato (‘JTD’ X ‘Marglobe’).  Named to celebrate the 250th Anniversary of Rutgers University.,,,,
2830,42 days,https://njaes.rutgers.edu/tomato-varieties/variety.php?42+days,,Garden,Open Pollinated,Very Early,Normal,Determinate,2 ft.,3 oz.,Round,Red,Red,Tomato Flavor,Very few seeds. Compact plant.,,,,,,
2831,Best Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Best+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,4 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Firm fruit.,,,,,,
2832,Better Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Better+Bush,,Garden,Hybrid,Mid,Normal,Determinate,2 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Compact plant. VF.,,,,,,
